transaction_id,user_id,username,email,age,subscription,city,region,store_id,transaction_date,raw_timestamp,product_category,sale_amount,price,status
TXN000900,USER0224,edwardrandolph,edwardrandolph@gmail.com,26,Free,Lucknow,North,STORE004,2026-08-04,2026-08-04 20:29:34,Sports,31394.72,93494.49,Cancelled
TXN000281,USER0135,michael62,michael62@yahoo.com,35,Free,Mumbai,West,STORE001,11/07/2025,2025-07-11 14:02:16,Grocery,75248.29,66780.1,Completed
TXN000884,USER0253,perezwilliam,perezwilliam@rediffmail.com,45,Premium,Ahmedabad,West,STORE001,2026-02-17,2026-02-17 05:38:17,Sports,24969.53,11197.17,Completed
TXN000762,USER0196,grodriguez,grodriguez@outlook.com,58,Free,Hyderabad,South,STORE004,2026-12-10,2026-12-10 21:42:05,Clothing,1259.08,11751.1,
TXN000320,USER0222,,rgilbert@yahoo.com,48,Basic,Bangalore,South,STORE004,16/06/2026,2026-06-16 16:44:44,Grocery,83919.4,55878.59,Completed
TXN000550,USER0071,wgordon,wgordon@yahoo.com,29,Basic,Ahmedabad,West,STORE003,2025-06-29,2025-06-29 17:29:45,Beauty,49109.5,82297.64,Cancelled
TXN000175,USER0227,tsanders,tsanders@gmail.com,61,Premium,Mumbai,West,STORE005,10/08/2026,2026-08-10 17:09:10,Furniture,9185.07,51086.5,Completed
TXN000372,USER0204,craigjoseph,craigjoseph@yahoo.com,60,Premium,Hyderabad,South,STORE002,2025-09-17,2025-09-17 09:36:22,Furniture,78332.62,94929.59,Completed
TXN000528,USER0077,dawn47,dawn47@rediffmail.com,18,Basic,Jaipur,North,STORE001,2025-09-11,2025-09-11 10:27:37,Electronics,-99128.22,73374.28,Completed
TXN000211,USER0215,ewilson,ewilson@rediffmail.com,20,Basic,Patna,East,STORE005,2026-08-20,2026-08-20 12:34:32,Beauty,63854.22,8589.7,
TXN000236,USER0197,lmoon,lmoon@gmail.com,64,Premium,Chandigarh,North,STORE001,2026-03-09,2026-03-09 22:08:30,Clothing,36819.41,29995.61,Returned
TXN000102,USER0189,kimberly69,kimberly69@gmail.com,66,Basic,Chandigarh,North,STORE005,2026-11-04,2026-11-04 15:14:54,Grocery,80741.41,84531.0,Completed
TXN000074,USER0077,hshaw,hshaw@hotmail.com,52,Basic,Pune,West,STORE003,02/11/2025,2025-11-02 18:37:42,Clothing,55236.55,54388.66,Returned
TXN000903,USER0055,,usweeney@outlook.com,56,Premium,  Kolkata,east,STORE003,25/02/2025,2025-02-25 02:03:17,Beauty,48198.64,33197.63,
TXN000948,USER0186,katie32,katie32@yahoo.com,47,Basic,Hyderabad,South,STORE001,07/09/2025,2025-09-07 10:15:51,Sports,24180.54,73306.55,Returned
TXN000347,USER0081,mcguiredanny,,32,Premium,Delhi,North,STORE004,2026-01-26,2026-01-26 12:52:42,Books,79768.71,54617.87,Pending
TXN000140,USER0252,jrivas,jrivas@yahoo.com,25,Premium,Patna,east,STORE001,2025-08-08,2025-08-08 19:18:44,Furniture,17348.37,,completed
TXN000622,USER0133,foxallison,foxallison@gmail.com,45,Free,Chandigarh,North,STORE001,2025-12-16,2025-12-16 05:13:11,Electronics,39553.89,1429.13,RETURNED
TXN000500,USER0093,nlewis,nlewis@outlook.com,53,Premium,Pune,West,STORE001,2026-11-20,2026-11-20 18:49:12,Books,6888.4,41183.75,Completed
TXN000371,USER0204,wareeric,wareeric@yahoo.com,44,Free,Bangalore,South,STORE005,07-03-2026,2026-07-03 13:36:23,Furniture,17954.09,55953.47,Returned
TXN000199,USER0204,jbarajas,jbarajas@gmail.com,37,Premium,Hyderabad,South,STORE005,2025-01-17,2025-01-17 06:37:09,Grocery,-56712.92,,Cancelled
TXN000688,USER0135,sabrinaweaver,sabrinaweaver@yahoo.com,39,Free,Lucknow,North,STORE002,01-31-2025,2025-01-31 06:12:18,Grocery,19679.16,17690.13,Cancelled
TXN000585,USER0105,stephanie24,stephanie24@hotmail.com,35,Basic,Patna,East,STORE002,2026-02-25,,Clothing,68716.8,23689.37,Pending
TXN000902,USER0151,tapiaaaron,tapiaaaron@gmail.com,66,Basic,Chandigarh,North,STORE002,2025-09-06,2025-09-06 18:32:23,Furniture,67040.92,46334.5,Returned
TXN000060,USER0034,brownjessica,brownjessica@hotmail.com,49,Premium,Chandigarh,North,STORE005,2025-02-22,2025-02-22 08:55:30,Sports,68676.46,,Cancelled
TXN000329,USER0165,brendali,brendali@rediffmail.com,42,Basic,Bangalore  ,South,STORE005,2025-04-17,2025-04-17 12:42:38,Sports,76261.23,27432.23,Cancelled
TXN000097,USER0042,landryhannah,landryhannah@outlook.com,56,Premium,Chandigarh,north,STORE001,18/05/2026,2026-05-18 22:58:28,Grocery,27574.1,63344.36,Cancelled
TXN000313,USER0002,tblankenship,tblankenship@gmail.com,60,Premium,Mumbai,West,STORE001,01/08/2025,2025-08-01 22:59:30,Books,57457.86,49460.99,COMPLETED
TXN000447,USER0219,gbrown,gbrown@hotmail.com,67,Premium,Patna,East,STORE005,2026-12-06,2026-12-06 10:55:29,Sports,82450.42,72048.07,Returned
TXN000300,USER0093,jessica14,jessica14@outlook.com,24,Basic,Kolkata,East,STORE002,19/11/2026,2026-11-19 11:32:19,Sports,-25939.32,80853.55,Pending
TXN000278,USER0136,hodgesjane,hodgesjane@outlook.com,37,Premium,Chennai,South,STORE001,2025-07-14,2025-07-14 13:44:35,Electronics,39350.93,55011.3,Returned
TXN000925,USER0255,,jbond@rediffmail.com,1,Free,Chandigarh,North,STORE003,2025-05-13,2025-05-13 08:46:02,Furniture,47811.5,78176.03,PENDING
TXN000602,USER0106,hebertmatthew,hebertmatthew@rediffmail.com,31,Basic,Chandigarh,North,STORE002,2025-10-22,2025-10-22 23:31:24,Furniture,18118.95,,Completed
TXN000440,USER0202,moniquewilliams,moniquewilliams@yahoo.com,23,Free,Mumbai,West,STORE004,2026-07-23,2026-07-23 08:14:09,Beauty,96064.51,61283.59,Pending
TXN000838,USER0005,smiththomas,smiththomas@yahoo.com,24,Basic,Hyderabad,South,STORE004,2026-09-28,2026-09-28 20:03:47,Grocery,57056.36,85397.54,Pending
TXN000571,USER0028,shernandez,shernandez@gmail.com,49,Free,Delhi,North,STORE001,2026-05-25,2026-05-25 07:40:08,Grocery,38325.03,,Pending
TXN000880,USER0259,jennifer91,jennifer91@gmail.com,26,Premium,Lucknow,North,STORE003,11-16-2025,2025-11-16 22:29:41,Furniture,97508.96,86799.09,PENDING
TXN000262,USER0182,ugibson,ugibson@yahoo.com,29,Basic,Mumbai,West,STORE003,2026-05-24,2026-05-24 00:24:43,Furniture,88354.04,3561.48,Pending
TXN000579,USER0166,plee,plee@rediffmail.com,24,Basic,Ahmedabad,West,STORE001,2026-08-26,2026-08-26 00:20:24,Sports,67543.62,33663.15,CANCELLED
TXN000024,USER0179,richard13,richard13@gmail.com,33,Basic,Jaipur,North,STORE003,2025-03-17,2025-03-17 17:13:32,Grocery,43874.64,,Cancelled
TXN000031,USER0117,,hernandezernest@yahoo.com,19,Free,Kolkata,East,STORE002,2025-07-24,2025-07-24 14:22:19,Furniture,32893.37,,CANCELLED
TXN000618,USER0080,christina32,christina32@hotmail.com,51,Free,Jaipur,North,STORE005,2026-06-10,2026-06-10 10:29:43,Electronics,29141.23,43791.82,RETURNED
TXN000011,USER0153,cassandra07,cassandra07@rediffmail.com,56,Premium,Chandigarh,North,STORE002,2026-05-28,2026-05-28 05:32:58,Clothing,76274.83,53983.97,Completed
TXN000222,USER0162,moorericky,moorericky@hotmail.com,57,Premium,Lucknow,North,STORE003,23/07/2026,2026-07-23 05:31:18,Electronics,48512.43,19593.34,Returned
TXN000821,USER0216,powellkara,powellkara@yahoo.com,31,Premium,Kolkata,East,STORE001,2025-10-29,2025-10-29 14:09:53,Sports,13866.35,96208.99,Pending
TXN000297,USER0056,jeffery39,,22,Basic,Mumbai,West,STORE003,2026-07-29,2026-07-29 20:38:38,Sports,32581.19,27760.8,Cancelled
TXN000055,USER0209,ilewis,ilewis@hotmail.com,53,Premium,Chandigarh,North,STORE004,24/07/2026,2026-07-24 00:33:12,Sports,71213.06,44872.64,completed
TXN000543,USER0235,nlevy,nlevy@outlook.com,27,Premium,  Hyderabad  ,SOUTH,STORE005,2025-01-26,2025-01-26 12:59:31,Beauty,33194.94,70574.59,Returned
TXN000210,USER0124,tammyking,tammyking@outlook.com,60,Premium,Bangalore,South,STORE004,2026-02-23,2026-02-23 21:31:08,Books,37761.38,,Returned
TXN000605,USER0024,znelson,znelson@gmail.com,34,Free,Bhubaneswar,East,STORE005,2026-04-28,2026-04-28 11:38:42,Furniture,30320.48,39530.21,
TXN000693,USER0192,williambrooks,williambrooks@rediffmail.com,62,Basic,Mumbai,West,STORE004,2026-05-26,2026-05-26 16:29:11,Furniture,26906.71,40154.51,Completed
TXN000663,USER0217,oallen,oallen@rediffmail.com,46,Premium,Jaipur,North,STORE001,2026-01-18,2026-01-18 17:10:50,Books,46518.74,82954.24,Cancelled
TXN000867,USER0181,fmiles,fmiles@hotmail.com,19,Premium,Kolkata,EAST,STORE002,24/08/2026,2026-08-24 13:18:38,Books,32335.85,79110.55,Cancelled
TXN000071,USER0160,smoore,smoore@rediffmail.com,18,Free,  Chennai,South,STORE004,2026-10-08,2026-10-08 19:51:15,Electronics,22547.6,,
TXN000544,USER0227,brandon47,,62,Premium,Kolkata,East,STORE004,24/10/2025,2025-10-24 18:42:09,Electronics,14028.39,55140.9,Cancelled
TXN000108,USER0257,garrisonjeffrey,garrisonjeffrey@rediffmail.com,60,Basic,Chennai,SOUTH,STORE001,2025-06-29,2025-06-29 04:24:34,Furniture,86190.26,,Completed
TXN000494,USER0008,erikarush,erikarush@gmail.com,56,Premium,Kolkata,east,STORE005,2025-05-16,2025-05-16 19:17:17,Sports,15198.45,44720.65,PENDING
TXN000591,USER0058,danawilliams,danawilliams@outlook.com,52,Basic,Ahmedabad,WEST,STORE004,2025-09-18,2025-09-18 18:03:31,Sports,24710.03,27845.6,Pending
TXN000742,USER0022,,pcook@gmail.com,31,Free,Bhubaneswar,East,STORE001,01-10-2025,,Furniture,60338.19,98690.99,
TXN000293,USER0243,victoria40,victoria40@rediffmail.com,53,Basic,Mumbai,West,STORE003,2025-09-05,2025-09-05 11:31:38,Grocery,83781.61,25940.13,Completed
TXN000290,USER0046,mbruce,user@.com,46,Premium,Bangalore,South,STORE004,2025-11-25,2025-11-25 08:46:26,Sports,48497.59,51698.49,Cancelled
TXN000653,USER0068,taylorvictoria,taylorvictoria@yahoo.com,50,Free,Chennai,South,STORE004,2025-12-12,2025-12-12 12:30:53,Books,45047.95,44962.57,
TXN000040,USER0234,georgetracy,georgetracy@yahoo.com,69,Basic,Kolkata,east,STORE005,2025-02-21,2025-02-21 17:15:58,Beauty,59585.69,,Returned
TXN000590,USER0121,johnsantiago,johnsantiago@hotmail.com,31,Premium,Hyderabad,south,STORE001,2025-11-17,2025-11-17 10:53:37,Grocery,21489.45,27527.28,Returned
TXN000308,USER0207,christopher60,christopher60@gmail.com,32,Premium,Lucknow,North,STORE002,2025-12-17,2025-12-17 15:22:48,Grocery,73434.25,59010.31,Pending
TXN000680,USER0052,nathangutierrez,nathangutierrez@outlook.com,59,Free,Mumbai,West,STORE001,2026-04-10,2026-04-10 12:29:50,Furniture,51769.57,58822.55,Completed
TXN000067,USER0090,michellebarrera,michellebarrera@hotmail.com,51,Free,Hyderabad,South,STORE004,2026-11-20,2026-11-20 08:36:02,Clothing,18230.77,,Returned
TXN000276,USER0038,williamsonjimmy,williamsonjimmy@outlook.com,28,Basic,Bhubaneswar,East,STORE002,29/10/2025,2025-10-29 00:20:16,Sports,7592.74,94189.23,
TXN000068,USER0054,nicholasgalloway,,39,Basic,Mumbai,West,STORE004,04-04-2025,2025-04-04 15:22:26,Clothing,66292.1,,Completed
TXN000319,USER0007,nicolepena,,67,Free,Bangalore,South,STORE005,28/03/2026,2026-03-28 01:04:16,Sports,56544.72,97791.77,Cancelled
TXN000549,USER0172,michaelroberts,michaelroberts@gmail.com,55,Basic,Bhubaneswar,EAST,STORE001,2025-05-28,2025-05-28 06:19:30,Electronics,41005.12,,Returned
TXN000381,USER0176,ythompson,ythompson@gmail.com,53,Premium,Chennai,South,STORE004,12/09/2025,2025-09-12 09:05:25,Clothing,35418.44,89442.19,Cancelled
TXN000715,USER0091,irhodes,irhodes@outlook.com,25,Free,Bangalore,south,STORE004,2025-06-15,2025-06-15 05:53:01,Grocery,7850.77,,Cancelled
TXN000754,USER0075,john26,john26@outlook.com,32,Basic,Pune,West,STORE004,09/02/2026,,Grocery,60186.39,14672.48,Completed
TXN000328,USER0222,,kristinharris@rediffmail.com,48,Free,  Delhi,North,STORE002,2026-05-26,2026-05-26 00:33:47,Sports,57897.58,,Pending
TXN000383,USER0041,charles06,charles06@hotmail.com,57,Premium,Chandigarh,north,STORE005,2026-09-26,2026-09-26 11:09:49,Electronics,84816.26,37182.53,
TXN000452,USER0186,awest,awest@gmail.com,51,Free,  Mumbai,west,STORE004,07/05/2025,2025-05-07 02:07:45,Sports,79127.55,51215.48,Pending
TXN000523,USER0167,georgeweber,georgeweber@yahoo.com,67,Premium,Lucknow,north,STORE003,30/08/2026,2026-08-30 18:20:26,Grocery,9896.61,73801.01,Pending
TXN000219,USER0199,lynchjody,not-an-email,43,Free,Mumbai,West,STORE001,2026-11-18,2026-11-18 15:33:40,Clothing,35263.29,45840.27,Pending
TXN000788,USER0066,whiteheather,whiteheather@outlook.com,66,Basic,Kolkata,east,STORE005,2026-03-08,2026-03-08 15:35:31,Sports,92363.77,84321.99,Returned
TXN000437,USER0119,xhammond,,50,Free,Bangalore,south,STORE001,2025-01-20,2025-01-20 09:55:56,Clothing,48517.75,,Completed
TXN000765,USER0033,,michaeljohnson@rediffmail.com,55,Free,Ahmedabad,West,STORE001,07-24-2026,2026-07-24 17:50:51,Books,75323.52,96571.54,Completed
TXN000089,USER0210,darrell18,darrell18@gmail.com,26,Premium,Mumbai,West,STORE001,2026-10-13,2026-10-13 14:58:44,Clothing,99593.14,,Pending
TXN000064,USER0102,williamsyvette,williamsyvette@hotmail.com,25,Free,Hyderabad,South,STORE002,2026-12-05,2026-12-05 07:59:16,Sports,14984.04,,pending
TXN000827,USER0208,sadams,,28,Premium,Bangalore,SOUTH,STORE003,12-11-2026,2026-12-11 14:30:20,Sports,42479.77,27064.96,completed
TXN000717,USER0003,brian63,brian63@gmail.com,67,Basic,Delhi,North,STORE002,2026-02-04,2026-02-04 22:19:28,Grocery,37527.01,23930.18,Completed
TXN000352,USER0157,gloriawells,gloriawells@rediffmail.com,27,Free,Bangalore,South,STORE005,2025-11-22,2025-11-22 15:28:21,Clothing,80789.21,95870.03,Pending
TXN000937,USER0134,joshuagriffin,joshuagriffin@yahoo.com,42,Basic,Chennai,South,STORE002,2026-07-02,2026-07-02 14:27:36,Grocery,90780.49,28141.94,cancelled
TXN000257,USER0107,michellehill,michellehill@hotmail.com,37,Basic,Bhubaneswar,East,STORE003,21/02/2026,2026-02-21 03:34:22,Books,12079.36,15845.78,cancelled
TXN000636,USER0260,kaylacannon,kaylacannon@hotmail.com,64,Premium,Mumbai,West,STORE002,2025-06-10,2025-06-10 23:18:45,Sports,36437.32,81934.16,Completed
TXN000645,USER0174,opatel,opatel@yahoo.com,69,Free,Delhi,north,STORE005,2026-04-05,2026-04-05 09:36:47,Beauty,71493.25,93760.19,pending
TXN000555,USER0040,cporter,cporter@rediffmail.com,30,Free,Bangalore,South,STORE002,2025-02-19,2025-02-19 09:18:33,Books,9541.41,75287.59,Cancelled
TXN000960,USER0057,samantharichard,samantharichard@gmail.com,46,Basic,Pune,West,STORE004,2026-04-01,2026-04-01 16:08:53,Clothing,8777.7,13768.12,
TXN000169,USER0235,howelljohn,howelljohn@outlook.com,63,Premium,Mumbai,West,STORE001,2025-10-07,2025-10-07 06:51:07,Sports,33777.51,,Pending
TXN000918,USER0018,tami37,tami37@yahoo.com,18,Basic,Chandigarh,North,STORE004,2026-08-20,2026-08-20 00:40:42,Beauty,54703.43,7289.32,PENDING
TXN000529,USER0051,lindacohen,lindacohen@hotmail.com,49,Premium,Kolkata,EAST,STORE001,2026-03-12,2026-03-12 16:25:30,Beauty,75332.56,69346.67,Returned
TXN000824,USER0007,simonstephen,simonstephen@outlook.com,25,Premium,Mumbai,West,STORE001,2026-04-27,2026-04-27 13:46:21,Sports,3308.7,75138.18,Pending
TXN000187,USER0097,marcus31,marcus31@rediffmail.com,64,Free,Patna,East,STORE005,2026-11-21,2026-11-21 19:38:02,Grocery,47991.48,86960.44,Cancelled
TXN000817,USER0245,jenniferpoole,jenniferpoole@gmail.com,25,Free,Mumbai,West,STORE004,2026-11-03,2026-11-03 04:20:09,Sports,27919.77,9135.66,Pending
TXN000087,USER0188,cheryl80,cheryl80@gmail.com,68,Basic,Bhubaneswar,east,STORE001,2025-08-20,2025-08-20 21:46:43,Clothing,53703.57,,Cancelled
TXN000433,USER0192,karen73,karen73@yahoo.com,66,Free,Jaipur,north,STORE001,2026-03-28,,Electronics,73984.2,24380.53,Pending
TXN000185,USER0154,christina87,christina87@yahoo.com,69,Basic,Kolkata,east,STORE001,2025-07-08,,Beauty,41326.48,41709.14,Pending
TXN000280,USER0251,williamslaura,williamslaura@outlook.com,23,Free,Mumbai,West,STORE005,30/04/2026,2026-04-30 03:19:50,Furniture,18569.63,88560.72,Cancelled
TXN000535,USER0217,floressteven,floressteven@outlook.com,21,Premium,Jaipur,North,STORE003,08-19-2025,2025-08-19 10:22:57,Clothing,45295.82,50194.86,Completed
TXN000295,USER0005,lozanojulie,lozanojulie@yahoo.com,34,Free,Bangalore,South,STORE003,2026-05-01,,Sports,96705.74,64309.76,returned
TXN000893,USER0231,jeffreyblack,jeffreyblack@rediffmail.com,29,Basic,Bangalore,South,STORE003,2026-10-17,,Clothing,39163.52,41787.7,Cancelled
TXN000426,USER0049,chrisrichard,chrisrichard@rediffmail.com,59,Basic,Kolkata,East,STORE001,2025-11-29,2025-11-29 15:11:31,Sports,80853.28,38216.46,COMPLETED
TXN000714,USER0035,anneknight,,53,Free,  Pune  ,West,STORE002,2025-12-01,2025-12-01 21:47:29,Sports,95006.84,14111.55,Cancelled
TXN000261,USER0170,jreed,jreed@gmail.com,20,Basic, Kolkata,East,STORE001,2025-05-12,2025-05-12 02:57:54,Grocery,92420.76,43372.32,returned
TXN000238,USER0045,harrisonricky,harrisonricky@gmail.com,26,Premium,Kolkata,East,STORE005,02-26-2026,2026-02-26 19:43:28,Sports,38464.79,96328.55,Cancelled
TXN000560,USER0040,brittney88,brittney88@gmail.com,67,Basic,Hyderabad,South,STORE004,22/03/2025,2025-03-22 13:44:48,Electronics,19715.46,3375.99,Completed
TXN000584,USER0187,zhuang,zhuang@hotmail.com,27,Premium,Ahmedabad,West,STORE002,2026-08-03,2026-08-03 23:40:03,Sports,68562.13,30097.54,RETURNED
TXN000446,USER0114,bwilkerson,bwilkerson@yahoo.com,66,Premium,Bhubaneswar,East,STORE001,23/02/2026,2026-02-23 00:59:17,Grocery,92717.61,98564.2,RETURNED
TXN000868,USER0075,joshuacollins,joshuacollins@outlook.com,25,Premium,Mumbai,West,STORE003,09/09/2025,2025-09-09 02:13:42,Sports,1189.01,32954.05,Returned
TXN000801,USER0200,hdunn,hdunn@hotmail.com,56,Basic,Mumbai  ,west,STORE002,2025-06-19,2025-06-19 14:48:32,Grocery,459.69,,Completed
TXN000600,USER0026,lfrench,lfrench@hotmail.com,57,Basic,Kolkata,EAST,STORE005,2026-04-19,2026-04-19 06:16:44,Clothing,15010.19,95807.48,PENDING
TXN000850,USER0045,fheath,fheath@gmail.com,23,Free,Kolkata,East,STORE001,2026-12-20,2026-12-20 19:59:57,Beauty,93256.43,10457.16,Completed
TXN000266,USER0029,zthornton,zthornton@yahoo.com,54,Basic,Jaipur,North,STORE003,2025-04-13,2025-04-13 07:42:15,Books,99155.04,17453.83,Pending
TXN000689,USER0057,warrenmary,warrenmary@outlook.com,31,Basic,Lucknow,North,STORE004,2025-04-14,,Grocery,37027.1,37297.79,Pending
TXN000530,USER0047,shawn02,shawn02@gmail.com,48,Free,  Jaipur,North,STORE003,2025-08-12,2025-08-12 04:22:18,Grocery,70360.12,,Completed
TXN000056,USER0157,esanchez,esanchez@rediffmail.com,41,Basic,Chennai,South,STORE005,2025-04-06,2025-04-06 09:14:25,Beauty,34441.36,99663.48,Cancelled
TXN000121,USER0020,elizabeth56,elizabeth56@outlook.com,67,Free,Patna,east,STORE002,04/06/2026,2026-06-04 17:53:47,Beauty,37734.32,16308.5,PENDING
TXN000216,USER0125,kimberlyjames,kimberlyjames@rediffmail.com,29,Free,Lucknow,NORTH,STORE002,10-26-2026,2026-10-26 03:43:51,Clothing,56028.91,95850.42,Pending
TXN000026,USER0136,ithomas,ithomas@rediffmail.com,49,Basic,Lucknow,North,STORE001,12/09/2026,2026-09-12 06:45:21,Electronics,63465.02,82951.87,Completed
TXN000073,USER0070,adkinsbrian,adkinsbrian@gmail.com,35,Basic,Patna,East,STORE003,2026-07-19,2026-07-19 04:24:12,Books,50822.99,82072.89,cancelled
TXN000045,USER0113,davidalvarez,davidalvarez@hotmail.com,32,Basic,Kolkata,east,STORE004,2026-07-06,2026-07-06 23:47:34,Furniture,2999.58,33679.34,Returned
TXN000248,USER0060,samuel71,samuel71@yahoo.com,65,Free,  Patna,east,STORE001,06-11-2025,2025-06-11 08:49:06,Electronics,85883.03,1327.58,Completed
TXN000722,USER0163,rreynolds,rreynolds@hotmail.com,22,Basic,Lucknow,North,STORE001,2026-11-26,2026-11-26 22:08:21,Beauty,91219.12,44946.27,Pending
TXN000282,USER0117,amandaknight,amandaknight@rediffmail.com,21,Basic,Mumbai,West,STORE005,2026-11-16,2026-11-16 11:51:34,Furniture,96566.21,68738.09,Returned
TXN000894,USER0176,finleycasey,finleycasey@rediffmail.com,25,Basic,Pune,WEST,STORE004,2025-11-13,2025-11-13 06:02:37,Beauty,96818.49,79254.82,Cancelled
TXN000915,USER0216,hardingderek,hardingderek@gmail.com,21,Free,Mumbai,West,STORE003,18/04/2025,2025-04-18 05:46:57,Electronics,3838.09,75018.5,
TXN000811,USER0044,lindahudson,lindahudson@yahoo.com,26,Basic,Mumbai,WEST,STORE005,04-19-2025,2025-04-19 17:47:52,Furniture,81564.95,30807.76,Returned
TXN000245,USER0090,hbrown,hbrown@gmail.com,18,Free,Mumbai,West,STORE002,10/04/2026,2026-04-10 19:38:03,Sports,1233.93,,Cancelled
TXN000823,USER0040,meltonmelanie,meltonmelanie@gmail.com,54,Basic,Chandigarh,North,STORE002,2025-01-31,2025-01-31 04:23:09,Books,18324.21,74381.44,CANCELLED
TXN000322,USER0121,xsampson,xsampson@gmail.com,47,Basic,Mumbai,West,STORE005,2026-06-04,2026-06-04 07:35:41,Furniture,8893.18,49895.77,
TXN000644,USER0057,inunez,inunez@gmail.com,41,Basic,Bhubaneswar,east,STORE005,2025-09-05,2025-09-05 09:46:27,Clothing,12468.92,75680.34,Completed
TXN000159,USER0105,qvargas,qvargas@hotmail.com,50,Free,Lucknow,North,STORE004,2025-01-20,2025-01-20 14:20:26,Books,84852.86,72767.47,Pending
TXN000283,USER0018,georgemiller,georgemiller@rediffmail.com,54,Free,Chandigarh,North,STORE005,2026-08-10,2026-08-10 07:30:19,Sports,98277.2,-14830.02,Returned
TXN000430,USER0223,mariewise,mariewise@yahoo.com,66,Premium,Mumbai,west,STORE004,2026-07-16,2026-07-16 12:16:05,Beauty,19891.04,39592.35,
TXN000942,USER0032,crystalpham,crystalpham@outlook.com,34,Premium,Chennai,south,STORE003,17/08/2026,2026-08-17 10:02:35,Beauty,71860.1,60097.83,cancelled
TXN000463,USER0109,myerstheodore,myerstheodore@gmail.com,101,Premium,Ahmedabad,West,STORE003,2026-02-28,,Clothing,79040.53,30846.48,Cancelled
TXN000310,USER0228,brenda51,brenda51@hotmail.com,25,Free,Chandigarh,North,STORE003,2026-11-01,2026-11-01 00:03:44,Furniture,70216.63,20628.94,Completed
TXN000698,USER0141,hullalice,hullalice@yahoo.com,63,Free,Mumbai,West,STORE002,07-21-2025,2025-07-21 21:21:16,Books,75263.1,74008.12,Cancelled
TXN000061,USER0116,wrightjames,wrightjames@rediffmail.com,42,Basic,Hyderabad,South,STORE004,2025-03-29,2025-03-29 07:07:35,Clothing,86030.65,99004.12,Cancelled
TXN000885,USER0052,trevinoalexander,trevinoalexander@outlook.com,32,Free,Jaipur,North,STORE004,2025-02-24,,Furniture,39349.25,22066.84,Cancelled
TXN000596,USER0168,manuel01,manuel01@hotmail.com,62,Premium,Bangalore,South,STORE001,2026-06-03,2026-06-03 02:22:26,Sports,64195.09,63052.62,pending
TXN000768,USER0161,michaelcooper,michaelcooper@rediffmail.com,40,Free,Ahmedabad,west,STORE005,2026-11-06,2026-11-06 17:28:08,Beauty,21062.97,9991.01,Completed
TXN000650,USER0210,griffinemily,griffinemily@gmail.com,25,Basic,Bhubaneswar,EAST,STORE005,2025-06-10,2025-06-10 17:23:58,Clothing,4124.19,15415.12,Cancelled
TXN000651,USER0074,sanchezbradley,,68,Free,Pune,West,STORE004,11-09-2025,2025-11-09 11:19:18,Electronics,93688.38,30585.88,Cancelled
